,feat,avg_imp
169,x_14hour_cnt,0.00038675565
170,x_26hour_cnt,0.0003866578
171,lmtbankCard_nunique,0.00038603484
172,residentAddrlinkRela_nunique1,0.00038580908
173,x_68hour_cnt,0.0003856279
174,setupHourresidentAddr_count1,0.0003854399
175,age_count1,0.00038504569
176,weekdayloanProduct_mn1,0.0003846264
177,x_50wk_cnt,0.00038426113
178,x_20hour_cnt,0.00038368657
179,x_67lmt_std,0.00038290204
180,basicLevelloanProduct_mn1,0.00038274302
181,dt_monthresidentAddr_count1,0.0003819877
182,x_76hour_cnt,0.00038185102
183,lmtbankCard_nunique1,0.00038099854
184,x_25,0.00038049315
185,x_67,0.0003804461
186,x_52,0.00037875777
187,unpayOtherLoan,0.00037867
188,x_74hour_cnt,0.00037847066
189,bankCardlinkRela_nunique1,0.00037706137
190,loanProductresidentAddr_count1,0.00037606547
191,x_72hour_cnt,0.0003756688
192,x_55wk_cnt,0.0003756267
193,bankCardlinkRela_nunique,0.00037415326
194,basicLevel_count2,0.00037399126
195,certValidBegin,0.00037279708
196,x_68,0.000371938
197,residentAddrsetupHour_nunique1,0.0003714009
198,bk_time,0.00037069776
199,x_12wk_cnt,0.00037020465
200,dt_yearweekday_count,0.00037013757
201,x_53hour_cnt,0.00036945814
202,x_62lmt_mean,0.00036933584
203,highestEdu_count2,0.00036857688
204,unpayIndvLoanlmt_mean,0.000367993
205,bankCardweekday_nunique1,0.00036784966
206,x_55hour_cnt,0.00036675716
207,age,0.0003661389
208,bankCard_count1,0.0003659443
209,age_count2,0.00036558532
210,x_48wk_cnt,0.00036504454
211,x_64hour_cnt,0.0003646865
212,bankCard_sum2,0.0003639958
213,x_62lmt_std,0.0003633101
214,x_45,0.0003633039
215,certValidStop,0.0003621589
216,x_28hour_cnt,0.0003607667
217,x_62lmt_max,0.0003607414
218,job,0.00036006517
219,x_61hour_cnt,0.00035919115
220,bankCardsetupHour_nunique,0.00035859502
221,dt_year_count2,0.00035839627
222,x_20lmt_mean,0.000358344
223,ncloseCreditCardlmt_std,0.00035795727
224,x_68wk_cnt,0.0003576727
225,residentAddrweekday_nunique,0.00035742062
226,x_25lmt_mean,0.00035729673
227,weekday_count2,0.00035644075
228,ncloseCreditCardhour_cnt,0.00035541138
229,setupHour,0.00035483786
230,x_34,0.0003529975
231,x_14wk_cnt,0.00035282588
232,bankCardresidentAddr_nunique1,0.0003525859
233,x_28wk_cnt,0.00035241194
234,x_14lmt_mean,0.00035214613
235,bankCardloanProduct_count1,0.0003518518
236,basicLevelloanProduct_count1,0.00035167276
237,x_61wk_cnt,0.0003497356
238,x_43hour_cnt,0.00034961133
239,dt_year_sum2,0.0003489267
240,bankCard,0.00034872448
241,x_67lmt_mean,0.0003477248
242,x_48hour_cnt,0.00034711734
243,x_47hour_cnt,0.00034695514
244,dt_yearresidentAddr_count1,0.0003459353
245,unpayIndvLoanhour_cnt,0.0003439496
246,x_75,0.00034377415
247,lmtbasicLevel_nunique1,0.0003414965
248,lmtresidentAddr_count1,0.00034098647
249,x_28lmt_mean,0.00033903564
250,lmtlinkRela_nunique,0.00033872155
251,dt_month,0.000338296
252,x_56wk_cnt,0.0003368079
253,lmt_sum2,0.00033476294
254,x_54,0.0003344322
255,edu,0.0003341671
256,x_20wk_cnt,0.00033299305
257,x_49hour_cnt,0.00033222727
258,residentAddrweekday_nunique1,0.00033187427
259,x_42hour_cnt,0.0003316978
260,lmtbasicLevel_nunique,0.0003309846
261,x_74wk_cnt,0.00032950827
